;minimum;maximum
ACOAD27f__AA1;0.0;988.261408291274
ACOAD28f__AA1;0.0;988.2614082912678
ACOAD29f__AA1;0.0;3.842148821320279e-12
ACOAD2f__AA1;-1000.0;988.2614082913137
ACOAD3__AA1;-1000.0;988.2614082912752
ACOAD30f__AA1;0.0;5.5706550483591855e-12
ACOAD31f__AA1;0.0;-9.319628402337798e-13
ACOAD32f__AA1;0.0;3.0225127956029496e-12
ACOAD33f__AA1;0.0;1.0174971976084635e-11
ACOAD34f__AA1;0.0;4.661160346586257e-12
ACOAD3f__AA1;-1000.0;988.2614082912648
ACOAD4__AA1;0.0;988.2614082912686
ACOAD4f__AA1;-1000.0;-11.738591708730041
ACOAD5__AA1;0.0;988.2614082912678
ACOAD5f__AA1;-1000.0;-11.73859170873584
ACOAD6__AA1;-1000.0;990.8284088564603
ACOAD6f__AA1;-1000.0;990.8284088564569
ACOAD7__AA1;-1000.0;990.8284088564611
ACOAD7f__AA1;-1000.0;990.8284088564557
ACOAD8f__AA1;-995.0111644931995;1.3752554650636739e-11
ACOADH2__AA1;0.0;500.0000000000034
ACODA__AA1;0.0;1.2732925824820995e-11
ACONT__AA1;-1000.0;1000.0
ACONTa__AA1;-1000.0;1000.0
ACONTb__AA1;-1000.0;1000.0
ACOTA__AA1;-1.3585577107733116e-11;0.0
ACP1_FMN__AA1;0.0;1.6655296933287822e-11
ACPPAT140__AA1;0.0;5.5848659030743875e-12
ACPPAT160__AA1;0.0;4.585795571775634
ACPPAT181__AA1;0.0;3.2462921240039577e-12
ACPS__AA1;0.0;8.608710966306887e-12
ACPS1__AA1;0.0;9.094947017729282e-13
ACPpds__AA1;0.0;1.0733317012956434e-11
ACS__AA1;0.0;2.2184698522664803e-11
ACSERHS__AA1;0.0;1.7394086171407253e-11
ACSERL__AA1;0.0;1.6482815112794924e-11
ACSPHAC100__AA1;0.0;8.185452315956354e-12
ACSPHAC101__AA1;0.0;3.637978807091713e-12
ACSPHAC120__AA1;0.0;1.4438228390645236e-11
ACSPHAC121__AA1;0.0;-8.526512829121202e-13
ACSPHAC121d6__AA1;0.0;0.0
ACSPHAC140__AA1;0.0;-1.9166890297128703e-12
ACSPHAC141__AA1;0.0;7.473133223356854e-12
ACSPHAC141d5__AA1;0.0;5.922373702560435e-12
ACSPHAC142__AA1;0.0;1.864464138634503e-11
ACSPHAC160__AA1;0.0;1.9380053117856733e-12
ACSPHAC40__AA1;0.0;-4.716227408607665e-13
ACSPHAC50__AA1;0.0;5.25091081726714e-12
ACSPHAC60__AA1;0.0;8.29913915367797e-12
ACSPHAC70__AA1;0.0;6.3936217431503906e-12
ACSPHAC80__AA1;0.0;7.958078640513122e-12
ACSPHAC90__AA1;0.0;1.1368683772161603e-11
ACSPHACP100__AA1;0.0;6.821210263296962e-13
ACSPHACP40__AA1;0.0;0.0
ACSPHACP50__AA1;0.0;2.2987500791771254e-11
ACSPHACP60__AA1;0.0;1.3415046851150692e-11
ACSPHACP70__AA1;0.0;4.953558396803004e-12
ACSPHACP80__AA1;0.0;-1.716671249596402e-11
ACSPHACP90__AA1;0.0;8.810729923425242e-12
ACSPHACT40__AA1;0.0;5.4143356464919634e-12
ACSPHACT60__AA1;0.0;6.0325078266032506e-12
ACTD__AA1;0.0;1000.0
ACTD2__AA1;0.0;1000.0
ACTD_1__AA1;0.0;1000.0
ACTDa__AA1;0.0;1000.0
ACTNabc__AA1;0.0;2.477926446694036e-11
ACt5pp__AA1;0.0;1.393263282523094e-11
ACtex__AA1;0.0;1.393263282523094e-11
ADCL__AA1;0.022066758045253376;0.022066758045254643
ADCS__AA1;0.02206675804525447;0.022066758045254643
ADEt2rpp__AA1;0.0;7.308591232213502e-12
ADEtex__AA1;0.0;7.308591232213502e-12
ADK1__AA1;-1000.0;1000.0
ADK2__AA1;-1.9554136088117957e-11;1000.0
ADK3__AA1;-1000.0;1000.0
ADK4__AA1;-1000.0;1000.0
ADKd__AA1;-1000.0;1000.0
ADMDC__AA1;0.0;2.049409253412904e-12
ADNCYC__AA1;0.0;1.5216795260370696e-11
ADNK1__AA1;0.0;6.74856875312048
ADNK3__AA1;0.0;6.748568753061932
ADNK4__AA1;0.0;6.748568753055281
ADNUC__AA1;0.0;5.5635496210015845e-12
ADNt2__AA1;0.0;6.738673345852994
ADNt2pp__AA1;0.0;6.738673345864363
ADNtex__AA1;0.0;6.738673345852539
ADPRDP__AA1;0.0;2.0463630789890885e-12
ADPT__AA1;0.0;7.585043704239069e-13
ADSL1r__AA1;0.0;-2.0516921495072893e-13
ADSL2r__AA1;0.0;6.359357485052897e-13
ADSS__AA1;0.0;1.6401324742787438e-12
AGDC__AA1;0.0;2.188271785996676e-11
AGM3PH__AA1;0.0;9.310330284506563e-13
AGM3Pt2pp__AA1;0.0;1.297406626576958e-12
AGM4PApp__AA1;0.0;4.800604358479177e-13
AGM4PH__AA1;0.0;-1.865174681370263e-13
AGM4Pt2pp__AA1;0.0;3.014921645672075e-12
AGMDA__AA1;0.0;3.852029806239443e-12
AGMH__AA1;0.0;1.3720691249829997e-12
AGMt2pp__AA1;0.0;1.0111911308285926e-12
AGMtex__AA1;-972.5835209475944;0.0
AGPAT160__AA1;4.58579557177226;4.585795571779158
AGPAT181__AA1;0.0;4.774847184307873e-12
AGPOP__AA1;0.0;1000.0
AGPR__AA1;0.0;0.0
AHCi__AA1;0.009895407195181354;0.00989540719744313
AHGDx__AA1;0.0;0.0
AHMMPS_1__AA1;0.0;1.3415046851150692e-11
AHSERL2__AA1;0.0;1.0345502232667059e-11
AI2abcpp__AA1;0.0;1.3983481039758772e-11
AI2tpp__AA1;0.0;9.731593308970332e-11
AICART__AA1;-2.509896804281375e-12;2.0808355039036996e-12
AIRC1__AA1;0.0;1.2846612662542611e-11
AIRC2__AA1;0.0;1.3642420526593924e-12
AIRC3__AA1;0.0;0.0
AIRCr__AA1;3.5925040720030665e-11;1.8278677182959058e-12
AKGDH__AA1;0.0;972.583520947635
AKGDa__AA1;0.0;982.1665301377886
AKGDb__AA1;0.0;982.166530137811
AKGt2r__AA1;0.0;999.4385181036795
AKP1__AA1;0.0;0.02206675804525465
ALAALAD_1__AA1;0.0;1.4566126083082054e-13
ALAALAr__AA1;0.9165785837990037;0.9165785837994456
ALAGLNtr__AA1;0.0;8.717029121705659
ALAGLYtr__AA1;0.0;8.412825991399586e-12
ALAHIStr__AA1;3.1249036228518774;3.1249036228778095
ALALEUt__AA1;0.0;5.515587986337778e-12
ALAR__AA1;-1000.0;1000.0
ALAS__AA1;0.05884468807380472;0.05884468820369243
ALATA_D__AA1;-1000.0;1000.0
ALATA_D2__AA1;0.0;1000.0
ALATA_L__AA1;-1000.0;1000.0
ALATA_L2__AA1;0.0;1000.0
ALATHRtr__AA1;17.940900999786834;17.950796407109237
ALAt2pp__AA1;0.0;1000.0
ALAt2r__AA1;0.0;1000.0
ALAtex__AA1;0.0;1000.0
ALCD1__AA1;-3.214850607946573e-11;1000.0
ALCD19__AA1;-1000.0;1000.0
ALCD19y__AA1;-1000.0;1000.0
ALCD22_L__AA1;-2.2282620193436742e-11;1000.0
ALCD2ir__AA1;-1000.0;1000.0
ALCD2y__AA1;-1000.0;1000.0
ALDD1__AA1;0.0;972.5835209479726
ALDD19xr__AA1;0.0;9.201528428093297e-12
ALDD20x__AA1;0.0;1000.0
ALDD20y__AA1;0.0;1000.0
ALDD2x__AA1;0.0;-1.0225376101402617e-11
